bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
Blue Mockingbird,Melanotis caerulescens,,"Only distantly related to our Northern Mockingbird, this slaty-blue Mexican specialty is an elusive skulker of dense thickets. It has strayed north very rarely into southern Arizona, where some individuals have been known to linger for several months.",Least Concern,"Desert and Arid Habitats, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/blue-mockingbird
Brambling,Fringilla montifringilla,,"A common finch of Europe and Asia, the Brambling appears regularly in small numbers in Alaska during migration, straying the short distance across the Bering Sea. Some of those that stray across in autumn apparently then continue south on the American side, and there have been winter records for numerous states and provinces east to the Atlantic Coast and south to Colorado. Many of these vagrant Bramblings have been found visiting bird feeders.",Least Concern,"Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/brambling
Snail Kite,Rostrhamus sociabilis,,"In the wide-open marshes of central Florida, the broad-winged Snail Kite glides slowly and low over the sawgrass. It has no need for fast flight, because it seeks only snails -- and only one particular sort, the apple snail. This snail is strongly affected by water levels, and drainage of wetlands has hurt populations of both the snail and the kite. The Florida race of this bird, formerly called the Everglades Kite, is now endangered.",Least Concern,"Freshwater Wetlands, Lakes, Ponds, and Rivers",https://www.audubon.org/field-guide/bird/snail-kite
Surf Scoter,Melanitta perspicillata,,"This duck is common in winter on both coasts; on Pacific Coast, often seen around fishing piers and harbors. The male's strong head pattern earns the species the hunters' nickname of 'skunk-head coot.' When feeding, they usually spring forward and dive with the wings partly opened. Silent at most times of year.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Lakes, Ponds, and Rivers, Open Ocean, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/surf-scoter
Upland Sandpiper,Bartramia longicauda,,"The ghostly, breathy whistle of the Upland Sandpiper is one of the characteristic sounds of spring on the northern Great Plains. The bird sings sometimes from the tops of fenceposts or poles, but often on the wing, flying high with shallow, fluttering wingbeats. When it lands, it may be hard to see in the tall grass of its typical habitat. Because of its short bill and round-headed shape, was once called 'Upland Plover,' but it is a true sandpiper, and apparently a close relative of the curlews.",Least Concern,"Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/upland-sandpiper
Red-necked Grebe,Podiceps grisegena,,"A large grebe of northern marshes and coasts. Not especially wary when not molested by humans; nests on park lakes in some cities, such as Anchorage, Alaska. Colorful, noisy, and conspicuous on its nesting territory, it seems a different bird in winter, when it is gray and silent, a solitary bird of offshore waters. Rather clumsy in takeoff, and not often seen flying except in migration.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/red-necked-grebe
Black Scoter,Melanitta americana,,"Was once called 'Common Scoter,' but that name is now restricted to a similar species in the Old World. The Black Scoter is generally seen less often than the other two kinds of scoters in most parts of North America. Floats rather buoyantly on water, often with tail cocked up noticeably. On northern waters, more vocal than the other two scoters, giving clear whistled calls.",Near Threatened,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Open Ocean, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/black-scoter
Vaux's Swift,Chaetura vauxi,,"A small, dark aerialist of the west, often overlooked as it flight high over northwestern forests or low over lakes and rivers with stiff, rapid wingbeats. Similar to the well-known Chimney Swift of the east, but only occasionally nests in chimneys. Because of its reliance on large hollow trees for nest sites, it has become scarce as old-growth forest in the northwest has been destroyed.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/vauxs-swift
Kentucky Warbler,Geothlypis formosa,,"During spring and summer, the fast, rolling song of the Kentucky Warbler comes from the undergrowth of eastern forests. This bird spends most of its time on the ground in moist, leafy woodlands, walking on the leaf-litter under thickets as it searches for insects. Despite its bright colors, it can be surprisingly hard to see in the shadows of the deep forest interior.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/kentucky-warbler
Semipalmated Plover,Charadrius semipalmatus,,"The most common of the small plovers on migration through most areas. On its breeding grounds in the north, it avoids the tundra habitat chosen by most shorebirds, nesting instead on gravel bars along rivers or ponds. In such surroundings, its seemingly bold pattern actually helps to make the plover inconspicuous, by breaking up its outline against the varied background. The name 'semipalmated' refers to partial webbing between the bird's toes.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/semipalmated-plover
Audubon's Oriole,Icterus graduacauda,,"In native woodlands and brushy country of far southern Texas, this large oriole is an uncommon resident. Members of a pair may stay together all year, and often forage together in the woods, but they can be hard to see; slow-moving, quiet, and rather secretive, they often stay low in dense cover. Audubon's Orioles may be noticed first by their hesitant slow whistles from deep in the thickets.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/audubons-oriole
Vesper Sparrow,Pooecetes gramineus,,"A rather chunky sparrow of the open fields, known at all seasons by its streaked appearance and its white outer tail feathers. In summer, its clear musical song may be heard at any time of day; but the naturalist John Burroughs, feeling that it sang most impressively in the evening, gave it the name of Vesper Sparrow. Not as shy as many grassland sparrows, it can be observed rather easily. It is often found dust-bathing in bare soil of fields or dirt roads.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/vesper-sparrow
California Gnatcatcher,Polioptila californica,,"Until the late 1980s, the California Gnatcatcher was regarded as just a local form of the Black-tailed Gnatcatcher. With its recognition as a full species, it also became endangered: its limited habitat along the southern California coast is being taken over by housing tracts and other developments. California Gnatcatchers live in coastal sage scrub, a low shrubby habitat that is also home to other specialized animals and plants.",Least Concern,"Desert and Arid Habitats, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/california-gnatcatcher
Least Flycatcher,Empidonax minimus,,"The eleven Empidonax flycatchers in North America are notorious for causing trouble for birders. All are small birds with wing-bars and eye-rings, and most are very hard to tell apart. The Least Flycatcher is the smallest and grayest of this group in the east, and it is often common near woodland edges, where it perches in the open and raps out its snappy song, chebeck!",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/least-flycatcher
Zone-tailed Hawk,Buteo albonotatus,,"Seen soaring at a distance over rugged country in the southwest, the Zone-tail looks remarkably like a Turkey Vulture. It may be overlooked even by birders who are searching for it. This close resemblance may fool other creatures as well: Small animals in the west learn to ignore the abundant and harmless Turkey Vultures, and they may fail to notice an approaching Zone-tailed Hawk until it is too late.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/zone-tailed-hawk
